9443 321 481
35 417 0 0
38 416 0 0
37 416 0 0
36 416 0 0
35 416 0 0
34 416 0 0
33 416 0 0
32 416 0 0
39 415 0 0
38 415 0 0
37 415 0 0
36 415 0 0
35 415 0 0
34 415 0 0
33 415 0 0
32 415 0 0
31 415 0 0
176 414 0 0
39 414 0 0
38 414 0 0
37 414 0 0
36 414 0 0
35 414 0 0
34 414 0 0
33 414 0 0
32 414 0 0
31 414 0 0
179 413 0 0
178 413 0 0
177 413 0 0
176 413 0 0
175 413 0 0
174 413 0 0
173 413 0 0
39 413 0 0
38 413 0 0
37 413 0 0
36 413 0 0
35 413 0 0
34 413 0 0
33 413 0 0
32 413 0 0
31 413 0 0
180 412 0 0
179 412 0 0
178 412 0 0
177 412 0 0
176 412 0 0
175 412 0 0
174 412 0 0
173 412 0 0
172 412 0 0
40 412 0 0
39 412 0 0
38 412 0 0
37 412 0 0
36 412 0 0
35 412 0 0
34 412 0 0
33 412 0 0
32 412 0 0
31 412 0 0
30 412 0 0
180 411 0 0
179 411 0 0
178 411 0 0
177 411 0 0
176 411 0 0
175 411 0 0
174 411 0 0
173 411 0 0
172 411 0 0
40 411 0 0
39 411 0 0
38 411 0 0
37 411 0 0
36 411 0 0
35 411 0 0
34 411 0 0
33 411 0 0
32 411 0 0
31 411 0 0
30 411 0 0
180 410 0 0
179 410 0 0
178 410 0 0
177 410 0 0
176 410 0 0
175 410 0 0
174 410 0 0
173 410 0 0
172 410 0 0
39 410 0 0
38 410 0 0
37 410 0 0
36 410 0 0
35 410 0 0
34 410 0 0
33 410 0 0
32 410 0 0
31 410 0 0
181 409 0 0
180 409 0 0
179 409 0 0
178 409 0 0
177 409 0 0
176 409 0 0
175 409 0 0
174 409 0 0
173 409 0 0
172 409 0 0
171 409 0 0
40 409 0 0
39 409 0 0
38 409 0 0
37 409 0 0
36 409 0 0
35 409 0 0
34 409 0 0
33 409 0 0
32 409 0 0
31 409 0 0
30 409 0 0
181 408 0 0
180 408 0 0
179 408 0 0
178 408 0 0
177 408 0 0
176 408 0 0
175 408 0 0
174 408 0 0
173 408 0 0
172 408 0 0
171 408 0 0
39 408 0 0
38 408 0 0
37 408 0 0
36 408 0 0
35 408 0 0
34 408 0 0
33 408 0 0
32 408 0 0
31 408 0 0
181 407 0 0
180 407 0 0
179 407 0 0
178 407 0 0
177 407 0 0
176 407 0 0
175 407 0 0
174 407 0 0
173 407 0 0
172 407 0 0
171 407 0 0
39 407 0 0
38 407 0 0
37 407 0 0
36 407 0 0
35 407 0 0
34 407 0 0
33 407 0 0
32 407 0 0
31 407 0 0
181 406 0 0
180 406 0 0
179 406 0 0
178 406 0 0
177 406 0 0
176 406 0 0
175 406 0 0
174 406 0 0
173 406 0 0
172 406 0 0
171 406 0 0
40 406 0 0
39 406 0 0
38 406 0 0
37 406 0 0
36 406 0 0
35 406 0 0
34 406 0 0
33 406 0 0
32 406 0 0
31 406 0 0
30 406 0 0
181 405 0 0
180 405 0 0
179 405 0 0
178 405 0 0
177 405 0 0
176 405 0 0
175 405 0 0
174 405 0 0
173 405 0 0
172 405 0 0
171 405 0 0
115 405 0 1
39 405 0 0
38 405 0 0
37 405 0 0
36 405 0 0
35 405 0 0
34 405 0 0
33 405 0 0
32 405 0 0
31 405 0 0
181 404 0 0
180 404 0 0
179 404 0 0
178 404 0 0
177 404 0 0
176 404 0 0
175 404 0 0
174 404 0 0
173 404 0 0
172 404 0 0
171 404 0 0
118 404 0 1
117 404 0 1
116 404 0 1
115 404 0 1
114 404 0 1
113 404 0 1
112 404 0 1
39 404 0 0
38 404 0 0
37 404 0 0
36 404 0 0
35 404 0 0
34 404 0 0
33 404 0 0
32 404 0 0
31 404 0 0
180 403 0 0
179 403 0 0
178 403 0 0
177 403 0 0
176 403 0 0
175 403 0 0
174 403 0 0
173 403 0 0
172 403 0 0
119 403 0 1
118 403 0 1
117 403 0 1
116 403 0 1
115 403 0 1
114 403 0 1
113 403 0 1
112 403 0 1
111 403 0 1
39 403 0 0
38 403 0 0
37 403 0 0
36 403 0 0
35 403 0 0
34 403 0 0
33 403 0 0
32 403 0 0
31 403 0 0
181 402 0 0
180 402 0 0
179 402 0 0
178 402 0 0
177 402 0 0
176 402 0 0
175 402 0 0
174 402 0 0
173 402 0 0
172 402 0 0
171 402 0 0
119 402 0 1
118 402 0 1
117 402 0 1
116 402 0 1
115 402 0 1
114 402 0 1
113 402 0 1
112 402 0 1
111 402 0 1
39 402 0 0
38 402 0 0
37 402 0 0
36 402 0 0
35 402 0 0
34 402 0 0
33 402 0 0
32 402 0 0
31 402 0 0
181 401 0 0
180 401 0 0
179 401 0 0
178 401 0 0
177 401 0 0
176 401 0 0
175 401 0 0
174 401 0 0
173 401 0 0
172 401 0 0
171 401 0 0
119 401 0 1
118 401 0 1
117 401 0 1
116 401 0 1
115 401 0 1
114 401 0 1
113 401 0 1
112 401 0 1
111 401 0 1
39 401 0 0
38 401 0 0
37 401 0 0
36 401 0 0
35 401 0 0
34 401 0 0
33 401 0 0
32 401 0 0
31 401 0 0
181 400 0 0
180 400 0 0
179 400 0 0
178 400 0 0
177 400 0 0
176 400 0 0
175 400 0 0
174 400 0 0
173 400 0 0
172 400 0 0
171 400 0 0
120 400 0 1
119 400 0 1
118 400 0 1
117 400 0 1
116 400 0 1
115 400 0 1
114 400 0 1
113 400 0 1
112 400 0 1
111 400 0 1
110 400 0 1
40 400 0 0
39 400 0 0
38 400 0 0
37 400 0 0
36 400 0 0
35 400 0 0
34 400 0 0
33 400 0 0
32 400 0 0
31 400 0 0
30 400 0 0
180 399 0 0
179 399 0 0
178 399 0 0
177 399 0 0
176 399 0 0
175 399 0 0
174 399 0 0
173 399 0 0
172 399 0 0
120 399 0 1
119 399 0 1
118 399 0 1
117 399 0 1
116 399 0 1
115 399 0 1
114 399 0 1
113 399 0 1
112 399 0 1
111 399 0 1
110 399 0 1
39 399 0 0
38 399 0 0
37 399 0 0
36 399 0 0
35 399 0 0
34 399 0 0
33 399 0 0
32 399 0 0
31 399 0 0
181 398 0 0
180 398 0 0
179 398 0 0
178 398 0 0
177 398 0 0
176 398 0 0
175 398 0 0
174 398 0 0
173 398 0 0
172 398 0 0
171 398 0 0
120 398 0 1
119 398 0 1
118 398 0 1
117 398 0 1
116 398 0 1
115 398 0 1
114 398 0 1
113 398 0 1
112 398 0 1
111 398 0 1
110 398 0 1
39 398 0 0
38 398 0 0
37 398 0 0
36 398 0 0
35 398 0 0
34 398 0 0
33 398 0 0
32 398 0 0
31 398 0 0
180 397 0 0
179 397 0 0
178 397 0 0
177 397 0 0
176 397 0 0
175 397 0 0
174 397 0 0
173 397 0 0
172 397 0 0
120 397 0 1
119 397 0 1
118 397 0 1
117 397 0 1
116 397 0 1
115 397 0 1
114 397 0 1
113 397 0 1
112 397 0 1
111 397 0 1
110 397 0 1
39 397 0 0
38 397 0 0
37 397 0 0
36 397 0 0
35 397 0 0
34 397 0 0
33 397 0 0
32 397 0 0
31 397 0 0
181 396 0 0
180 396 0 0
179 396 0 0
178 396 0 0
177 396 0 0
